Codigo,Título,Quantidades,Autor,Ano,Editora,Edição,ISBN,Categoria
Eco50,Pomar ou floresta: principios para manejo de agroecossistemas,Ecologia,Jorge Luiz Vivan,1995,AS-PTA,1° Ed.,,Ecologia
Eco51,Proceedings: International Symposium of Assessment and Monitoring of Forests in Tropical Dry Regions with Special Reference to Gallery Forests,Ecologia,Jose Imana-Encinas,1996,Brasilia,1° Ed.,,Ecologia
Eco52,"Reservatórios do Nordeste do Brasil: Biodiversidade, Ecologia e Manejo",Ecologia,,,,,,Ecologia
Eco53,Sustentável Mata Atlântica: A Exploração de Seus Recursos Florestais,Ecologia,Luciana Lopes Simões,2000,Parma Ltda.,1° Ed.,-,Ecologia
Eco54,The forests of the Congo Basin State of the Forest 2013,Ecologia,"Wasseige C., Flynn J., Louppe D.",2014,,-,9782874892998,Ecologia
Eco55,Ecology,,"Stanley I. Dodson, Timothy F. H. Allen, Stephen R. Carpenter, Anthony R. Ives, Robert L. Jeanne",1998,Oxford University Press,1° Ed.,9780195120790,Ecologia
Eco56,Ecologia,,Hermann Remmert,1982,E.P.U.,1° Ed.,-,Ecologia
EcoHum01,As Yalorixás do Recife,Ecologia Humana,Lia Menezes,2005,-,-,-,Ecologia Humana
EcoHum02,El Hongo y la génesis de las culturas,Ecologia Humana,Josep Maria Fericgla,1994,Los libros de la liebre de marzo,1º Ed.,-,Ecologia Humana
EcoHum03,Etnomatematica,Ecologia Humana,Ubiratan D'Ambrosio,1998,Editora ática,4º Ed.,8508037570,Ecologia Humana
EcoHum04,Levantamento da Cultura Imaterial:São Raimundo Nonato - PI E Macro-região,Ecologia Humana,Diolinda Macêdo,2007,-,-,,Ecologia Humana
EcoHum05,Manual de Etnografia,Ecologia Humana,Marcel Mauss,1993,"Publicações Dom Quixote, Ltda.",1º Ed.,9722011049,Ecologia Humana
